adis_visita_id;recordedby
1052;Francisco Contreras Parody
1053;Mentxu
1054;Fanny Archila
1055;Mentxu
1056;Fanny Archila
1057;Francisco Contreras Parody
1058;Mentxu
1059;Francisco Contreras Parody
1060;Francisco Contreras Parody
1061;Francisco Contreras Parody
1062;Mentxu
1063;Pablo Galdo
1064;Mentxu
1065;Pablo Galdo
1066;Mentxu
1067;Mentxu
1068;Pablo Galdo
1069;Pablo Galdo
1070;Pablo Galdo
1071;Pablo Galdo
1072;Mentxu
1073;Mentxu
1074;Pablo Galdo
1077;Pablo Galdo
1078;Fanny Archila
1079;Fanny Archila
1080;Fanny Archila
1081;Fanny Archila
1082;Fanny Archila
1083;Fanny Archila
1084;Pablo Galdo
1085;Pablo Galdo
1086;Pablo Galdo
1087;Mentxu
1088;Pablo Galdo
1089;Mentxu
1090;Mentxu
1091;Mentxu
1092;Fanny Archila
1093;Fanny Archila
1094;Fanny Archila
1095;Fanny Archila
1096;Fanny Archila
1098;Fanny Archila
1099;Fanny Archila
1100;Fanny Archila
1101;Fanny Archila
1102;Fanny Archila
1103;Fanny Archila
1104;Fanny Archila
1105;Fanny Archila
1106;Fanny Archila
1107;Fanny Archila
1108;Fanny Archila
1109;Mentxu
1110;Fanny Archila
1111;Fanny Archila
1112;Fanny Archila
1113;Cristina Debén, Fanny Archila
1114;Cristina Martos
1115;Cristina Martos
1116;Cristina Martos
1117;Cristina Martos
1118;Cristina Martos
1119;Cristina Martos
1120;Cristina Martos
1121;Cristina Martos
1122;Cristina Martos
1123;Cristina Martos
1124;Cristina Martos
1125;Cristina Martos
1126;Cristina Martos
